,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
79,the former peterlee campus of east durham college,East Durham & Houghall Community College,Closed,0.0,0.3141024112701416,55,9,156
80,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,4%,0.4,0.35681891441345215,61,12,171
81,how many cm is a 24 inch tv,61,60.96 cm,0.0,0.35828471183776855,57,16,153
82,where was the walking dead season 7 filmed,Georgia,"Georgia, United States",0.5,0.4052398204803467,57,29,153
83,who plays male lead in far from the madding crowd,Carey Mulligan,Tom Sturridge,0.0,0.32407283782958984,59,22,159
84,who is in the cast of the handmaid's tale,Elisabeth Moss,"Elisabeth Moss, Joseph Fiennes, Yvonne Strahovski, Alexis Bledel, Madeline Brewer",0.33333333333333337,0.555809736251831,80,99,159
85,who owned the first casino in las vegas,local Las Vegas business owners,Bugsy Siegel,0.0,0.44581055641174316,57,43,150
86,who is the lead singer of portugal the man,John Baldwin Gourley,John Gourley,0.8,0.37460827827453613,58,18,156
87,who does billy russo become on the punisher,Jigsaw,Jigsaw,1.0,0.3332095146179199,57,12,159
88,who was the founder of chick fil a,S. Truett Cathy,S. Truett Cathy,1.0,0.40153932571411133,58,22,150
89,when was asbestos first found to be dangerous,began with the 20th century and escalated during the 1920s and 1930s,Late 1890s,0.0,0.384141206741333,57,21,150
90,where is the black box located on an airplane,usually mounted in the aircraft's tail section,Cockpit,0.0,0.31745386123657227,56,16,153
91,when did the brewers go to national league,1998,1998,1.0,0.3416285514831543,54,12,150
92,who are the songwriters for the greatest showman,Benj Pasek,Benj Pasek and Justin Paul,0.5714285714285715,0.4081251621246338,62,30,156
93,who plays dylan in now you see me,Mark Ruffalo,Jesse Eisenberg,0.0,0.3519582748413086,57,18,153
94,where was the ark of the covenant taken,Kiriath-Jearim,Jerusalem,0.0,0.4618995189666748,64,20,150
95,harrow on the hill height above sea level,124 metres (408 ft),84 meters,0.0,0.2623600959777832,55,12,153
96,who plays hitler in man in the high castle,Wolf Muser,Wolf Muser,1.0,0.37697839736938477,57,15,156
97,lowest city below sea level in the world,"Jericho, West Bank","Dead Sea, Jordan/Israel -428 meters (-1,404 feet)",0.0,0.448030948638916,67,19,150
98,who voiced jack in rise of the guardians,Chris Pine,Chris Pine,1.0,0.32651591300964355,54,12,150
99,what type of hybrid is the ford fusion,gasoline-electric,Plug-in hybrid,0.0,0.28164029121398926,55,21,150
100,how many states is there in united states,50,50,1.0,0.26244211196899414,53,9,150
101,what is the first harry potter book called in england,Harry Potter and the Philosopher's Stone,Philosopher's Stone,0.5714285714285715,0.34319090843200684,61,18,165
102,when did montgomery ward's go out of business,2001,2001,1.0,0.33559679985046387,56,12,156
103,who won series 7 of great british bake off,Candice Brown,Candice Brown,1.0,0.38469433784484863,58,18,156
104,who does the voice of special ed on crank yankers,Jim Florentine,Jim Florentine,1.0,0.3542017936706543,60,18,162
105,what does the ministry of trade and industry do,directs the formulation of policies related to the development of trade and industry in Singapore,Regulates trade and industry activities.,0.33333333333333337,0.34070563316345215,60,24,153
106,who sings nothings gonna hurt you baby,Cigarettes After Sex,Cigarettes After Sex,1.0,0.3375556468963623,57,21,150
107,where in the bible does it talk about manna from heaven,Exodus 16:1–36,Exodus 16:14-15,0.5,0.4108583927154541,64,29,162
108,winds that blow predominantly from the northeast and the southeast are the,The trade winds,trade winds,1.0,0.3501009941101074,59,12,165
109,what is the use of symbolic link in linux,to reorder the file system hierarchy,linking files and directories,0.0,0.36234378814697266,58,43,153
110,time after time song was in what movie,John Tucker Must Die,Strictly Ballroom,0.0,0.2743208408355713,56,30,150
111,who sings i'm the one your mother warned you about,Mickey Gilley,Lou Williams,0.0,0.32021617889404297,57,18,159
112,who is considered a foreign official under fcpa,"any officer or employee of a foreign government or any department, agency, or instrumentality thereof, or of a public international organization, or any person acting in an official capacity for or on behalf of any such government or department, agency, or instrumentality, or for or on behalf of any such public international organization","Government officials, employees, or anyone acting on behalf of a foreign government or agency.",0.31746031746031744,0.4924132823944092,71,64,156
113,who made the song london bridge is falling down,Unknown,Anonymous,0.0,0.28217053413391113,54,9,153
114,when does love simon come out in canada,"March 16, 2018","March 16, 2018",1.0,0.36527490615844727,60,22,153
115,what were the major components of clays american system,a tariff to protect and promote American industry,"Protective tariffs, a national bank, and internal improvements.",0.14285714285714285,0.45818352699279785,66,34,156
116,where was pirates of the carribean on stranger tides filmed,"Principal photography began on June 14, 2010, in Hawaii.[17][47] Filming was moved to California in August 2010,[48] primarily at the Long Beach shore[33] and a recreation of Whitecap Bay done in the Universal Studios backlot,[17] as the original Hawaiian location on Halona Cove was plagued with strong tides.[22] After a brief shoot in Puerto Rico,[33] with locations in both Palomino Island and the Fort of San Cristóbal in San Juan,[49] production moved to the United Kingdom in September, where principal photography wrapped on November 18 after 106 days of shooting.[17] Locations included Hampton Court Palace in London,[23] Knole House in Kent,[33] and Old Royal Naval College at Greenwich.[50] Interiors were shot at London's Pinewood Studios, and a replica of an 18th-century London street was built on the backlot alongside the soundstages","Hawaii, Puerto Rico, United Kingdom, and Los Angeles",0.0625,0.4635286331176758,69,33,165
117,who sings i wanna be like you jungle book,Louis Prima,Louis Prima,1.0,0.3379251956939697,56,15,153
118,who wrote the book of philippians in the bible,Paul of Tarsus,Paul,0.5,0.3274538516998291,56,9,159
119,who sold more albums carrie underwood vs kelly clarkson,Carrie Underwood,Carrie Underwood,1.0,0.35031986236572266,62,14,168
120,who is the oldest child in queen sugar,Nova Bordelon,Nova,0.6666666666666666,0.332155704498291,53,15,150
121,when did second world war start and end,1 September 1939 – 2 September 1945,"1939, 1945",0.4444444444444445,0.3841114044189453,58,41,150
122,a spider with a skull on its back,Steatoda nobilis,Creepy,0.0,0.3379676342010498,54,20,150
123,when did the waltz become popular in england,the Regency period,Early 19th century,0.0,0.34487438201904297,60,16,159
124,what is expelled out of the body as faeces through the anus,"solid, semisolid, or liquid waste material",Waste,0.2857142857142857,0.3479347229003906,60,12,168
125,who was the chief guest of the official ceremony in the republic day,Crown Prince Mohammed bin Zayed Al Nahyan,Indian Prime Minister Narendra Modi,0.0,0.3958413600921631,62,18,165
126,who wrote the practice of the presence of god,"Brother Lawrence (born Nicholas Herman), a 17th-century Carmelite monk",Brother Lawrence,0.4,0.28407931327819824,56,15,153
127,what cities have been capital of the united states,New York City,"New York City, Philadelphia, and Washington D.C.",0.6,0.4659900665283203,64,38,153
128,when did india conduct the nuclear test at pokhran,May 1998,1998,0.6666666666666666,0.3383209705352783,57,17,159
129,nhl record for shots on goal in a game,"Ray Bourque (March 21, 1991), 19",91,0.0,0.26486968994140625,55,9,156
130,where does the sagging pants trend come from,1990s,Hip-hop culture,0.0,0.41946911811828613,56,16,153
131,who has played in the most nba finals games,Bill Russell,LeBron James,0.0,0.3404221534729004,57,13,156
132,moment of inertia of a rod about a point,radius of gyration,1/3 * mass * length^2,0.0,0.41063523292541504,62,27,153
133,list of hum tv dramas based on novels,Dayar-e-Dil,"I'm sorry, I couldn't find a list of all Hum TV dramas based on novels.",0.0,0.5124795436859131,69,56,150
134,when does mark show up in grey anatomy,season two,"Season 2, episode 18",0.3333333333333333,0.3939626216888428,59,27,150
135,where is the iguazu falls located on a map,on the border of the Argentine province of Misiones and the Brazilian state of Paraná,South America,0.0,0.3511662483215332,57,15,159
136,in the 1st century bc egypt became a colony of,the Roman Empire,Rome,0.0,0.3344409465789795,59,12,165
137,who is the cheif minister of uttar pradesh up,Yogi Adityanath,Yogi Adityanath,1.0,0.4314389228820801,62,24,162
138,who played jono on star trek next generation,Chad Allen,Mark Adair Rios,0.0,0.3607633113861084,58,17,153
139,this bear lives in the hundred acre wood,Winnie-the-Pooh,Winnie the Pooh,0.0,0.4181649684906006,57,21,150
140,what is the holy book of lslam called,Quran,Quran,1.0,0.3230879306793213,56,12,156
141,who won the women's championship at wimbledon this year,Garbiñe Muguruza,Ashleigh Barty,0.0,0.31430721282958984,59,18,159
142,who won second place in miss universe 2017,Laura González,Colombia,0.0,0.3443410396575928,57,16,156
143,when does the new wheel of fortune season start,"September 10, 2018",Check your local listings for exact air dates.,0.0,0.39321017265319824,62,18,153
144,who has been elected next president of united nations 2018,María Fernanda Espinosa,"I'm sorry, but the United Nations does not have a president in the traditional sense. The UN Secretary-General is the chief administrative officer of the organization.",0.0,0.6869120597839355,85,77,162
145,when was the myers briggs type indicator developed,during World War II,1940s,0.0,0.33150291442871094,57,13,156
146,when was the last time australia won the rugby world cup,1999, Never ,0.0,0.3149747848510742,56,11,159
147,where was the movie it's complicated filmed,New York City,"Various locations in California, including Los Angeles and Santa Barbara.",0.0,0.43772053718566895,64,42,150
148,who wrote the story for the shape of water,Guillermo del Toro,Guillermo del Toro,1.0,0.36933350563049316,58,21,153
149,when do fifty shades of freed come out,"February 9, 2018",2018,0.5,0.32012057304382324,54,27,150
150,where is the lighthouse in lighthouse point fl,Hillsboro Beach,"Lighthouse Point, FL is located in Broward County, Florida. The Hillsboro Inlet Lighthouse is situated in nearby Hillsboro Beach.",0.19999999999999998,0.6760516166687012,83,39,156
151,who founded the first university in the world,Fatima bint Muhammad Al-Fihriya Al-Qurashiya,Fatima al-Fihri,0.28571428571428575,0.42914628982543945,58,40,150
152,when did tiger win his last pga tournament,2007,2019,0.0,0.34402894973754883,55,12,153
153,who wrote aerosmith i don't want to miss a thing,Diane Warren,Diane Warren,1.0,0.35184454917907715,59,15,162
154,what was the capital of brazil before brasilia,Rio de Janeiro,Rio de Janeiro,1.0,0.2976868152618408,56,15,153
155,where was the kath and kim movie filmed,Positano,Australia,0.0,0.3186659812927246,54,9,153
156,what is red's real name on that 70's show,"Reginald Albert ""Red"" Forman",Eric,0.0,0.253706693649292,57,16,162
157,when did nhl start 3 on 3 overtime,2015–16 NHL season,2015-2016 season,0.4,0.5550048351287842,81,32,159
158,who is the founder of red cross society,Henry Dunant,Henry Dunant,1.0,0.3247945308685303,55,15,150
159,what are the three rivers of pittsburgh pennsylvania,Allegheny,"Monongahela, Allegheny, Ohio",0.5,0.441577672958374,65,36,159
160,what were the two super powers during the cold war,Soviet Union,United States and Soviet Union,0.5714285714285715,0.37160754203796387,59,19,156
161,at present who is the speaker of lok sabha,Sumitra Mahajan,Om Birla,0.0,0.35994768142700195,58,18,156
162,who voices the faceless old woman who secretly lives in your home,Mara Wilson,Mara Wilson,1.0,0.27182602882385254,60,14,165
163,when did sweet dreams are made of this come out,1983,1983,1.0,0.2860441207885742,56,12,156
164,when were catholic churches allowed back in england,Dioceses (replacing districts) were re-established by Pope Pius IX in 1850,19th century,0.0,0.3542821407318115,56,12,153
165,who plays wendy the waitress in how i met your mother,Charlene Amoia,Charlene Amoia,1.0,0.34683990478515625,62,21,165
166,where did the night at the museum take place,New York City's American Museum of Natural History,Museum,0.2222222222222222,0.3350646495819092,55,16,153
167,what are freshmen called at the air force academy,Fourth class cadets,cadets,0.5,0.3142404556274414,55,12,153
168,how many gold medals did nz win in the 2018 commonwealth,46,15,0.0,0.2454051971435547,59,9,168
169,who is the actor playing terry on general hospital,Cassandra James,Josh Swickard,0.0,0.36692309379577637,58,17,156
170,who is the leader of the state government in australia,the Queen of Australia,Prime Minister,0.0,0.33438801765441895,56,12,156
171,when was national food security act introduced in rajasthan,22 December 2011,2014,0.0,0.3192431926727295,56,12,156
172,good morning america what time does it start,7:00 to 9:00 a.m. in all U.S. time zones (live in the Eastern Time Zone and on tape delay elsewhere across the country),7:00 AM,0.17391304347826084,0.3409907817840576,56,16,150
173,what are the main sources of vitamin k,green leafy vegetables,"Green leafy vegetables, liver, and fermented foods are main sources of vitamin K.",0.375,0.48046207427978516,69,56,150
174,when did the edwardian era start and end,1901 to 1910,"1901, 1910",0.8,0.3971426486968994,60,32,156
175,what was the copperheads position on fighting the war,opposed the American Civil War and wanted an immediate peace settlement with the Confederates,Opposed the war,0.3076923076923077,0.30660486221313477,58,15,156
176,when was rudolph the red nosed reindeer written,1939,1939,1.0,0.32912516593933105,57,12,159
177,when does season 3 of lucifer come out,"October 2, 2017",Fall 2017,0.4,0.30785226821899414,58,39,156
178,what kind of currency is used in new zealand,New Zealand dollar,New Zealand Dollar,1.0,0.3070189952850342,57,15,156
179,when was the last time mount shasta was active,about two centuries ago,1786,0.0,0.3373429775238037,56,13,156
180,which is first dawn of the planet of the apes or rise of the planet of the apes,Rise of the Planet of the Apes,Rise of the Planet of the Apes,1.0,0.40642380714416504,73,33,186
181,coriolosis component of acceleration can be found in,the Earth,Physics,0.0,0.26943135261535645,55,22,156
182,who sings i always feel like somebody's watching me,TRU,Rockwell,0.0,0.28661036491394043,56,12,156
183,where is lebron on the all time scoring list,7,3rd,0.0,0.35112977027893066,56,24,156
184,who wrote there's nothing holdin me back,Shawn Mendes,Shawn Mendes,1.0,0.374528169631958,57,18,153
185,when was silicon added to the periodic table,1823,1823,1.0,0.33238720893859863,54,12,150
186,where do the golden knights hockey team play,"at T-Mobile Arena on the Las Vegas Strip in Paradise, Nevada",T-Mobile Arena,0.33333333333333337,0.3531069755554199,55,16,150
187,where is black sea located in the world,"between Eastern Europe, the Caucasus, and Western Asia",Europe,0.25,0.28189539909362793,53,11,150
188,when can a person be held for a capital crime without benefit of presentment,"in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger",During times of war or public danger,0.3448275862068965,0.5725922584533691,66,41,171
189,when was central statistical organisation of india established,2 May 1951,1951,0.5,0.3431820869445801,54,12,150
190,who plays red's voice in angry birds,Jason Sudeikis,Jason Sudeikis,1.0,0.36629343032836914,57,20,150
191,what was the first book that charles dickens published,The Pickwick Papers,The Pickwick Papers,1.0,0.337054967880249,59,25,159
192,how many episodes is there in season 14 of greys anatomy,24,24,1.0,0.2508103847503662,58,9,165
193,who is the highest paid nba player in 2016,LeBron James,LeBron James,1.0,0.34166669845581055,59,15,162
194,who has been on the throne the longest in england,Queen Elizabeth II,Queen Elizabeth II,1.0,0.30512356758117676,58,15,159
195,where is earth within the milky way galaxy,Orion Arm,In the Milky Way galaxy,0.0,0.3634014129638672,58,18,153
196,who plays shiv's ex boyfriend on succession,Ashley Zukerman,Kieran Culkin,0.0,0.3436877727508545,57,15,153
197,what is the population of yukon in 2017,"35,874 people","36,590",0.0,0.36322498321533203,59,15,162
198,when was a whiter shade of pale recorded,1967,1967,1.0,0.32351207733154297,55,12,153
199,when did the song all by myself come out,in 1975,1975,0.6666666666666666,0.3513634204864502,55,12,153
200,what is the meaning of region in english,"areas that are broadly divided by physical characteristics (physical geography), human impact characteristics (human geography), and the interaction of humanity and the environment (environmental geography)",area or district with distinct characteristics,0.06896551724137931,0.3536984920501709,58,36,150
201,when does arrow season 6 episode 21 air,"May 3, 2018","May 3, 2018",1.0,0.3479301929473877,61,41,156
202,who starred in the original movie cape fear,Robert Mitchum,Robert Mitchum and Gregory Peck,0.5714285714285715,0.3949596881866455,59,19,150
203,who is the bloke in the go compare advert,Wynne Evans,WYNNE EVANS,1.0,0.3687925338745117,59,18,156
204,where does a jury of her peers take place,"fictional Dickson County (representing Dickinson County, Iowa)",In a small rural farmhouse in the Midwest.,0.0,0.42467284202575684,62,12,153
205,what language do they speak in the czech republic,Czech,Czech,1.0,0.37077808380126953,56,12,156
206,who is el senor de los cielos based on,Amado Carrillo Fuentes,"Aurelio Casillas, a Mexican drug lord.",0.0,0.43099331855773926,67,24,162
207,what year did the drummer lose his arm,1985,1984,0.0,0.3313601016998291,54,12,150
208,where is redding california located on a map,"along the Sacramento River, 162 miles (261 kilometers) north of Sacramento, and 120 miles (190 km) south of California's northern border, shared with the state of Oregon",United States,0.0,0.36170291900634766,55,11,153
209,when does celebs go dating series 3 start,4 September 2017,"January 4, 2018",0.3333333333333333,0.4021422863006592,61,18,156
210,what is the newest jurassic park movie called,Jurassic World: Fallen Kingdom,Jurassic World: Dominion,0.5714285714285715,0.38165903091430664,58,21,153
211,who wrote the song one wing from sparkle,R. Kelly,Twinkie Clark,0.0,0.31598544120788574,56,28,150
212,who sang wish you were here pink floyd,David Gilmour,Pink Floyd,0.0,0.29566097259521484,55,12,153
213,who won the women's 400 meter dash in the olympics,Shaunae Miller,Shaunae Miller-Uibo,0.5,0.40367937088012695,64,39,168
214,who has the most points in nba history career,LeBron James,Kareem Abdul-Jabbar,0.0,0.379425048828125,61,27,156
215,who is paige on days of our lives,True O'Brien,character on the show,0.0,0.28763675689697266,57,20,153
216,bible verse if your hand causes you sin cut off,Matthew 5:30,Matthew 5:30,1.0,0.3471856117248535,60,21,159
217,when did the first slender game come out,2012,2012,1.0,0.24904632568359375,54,12,150
218,when do the red sox play sweet caroline,in the middle of the eighth inning,Between the top and bottom of the 8th inning,0.3333333333333333,0.3793354034423828,65,24,156
219,who plays the black knight in monty python,John Cleese,John Cleese,1.0,0.372631311416626,56,15,153
220,secreted by cells in the walls of the hearts atria,Atrial natriuretic peptide (ANP),Atrial natriuretic peptide,0.8571428571428571,0.37741947174072266,63,31,162
221,which nba player has scored the most points,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,1.0,0.3252677917480469,60,27,153
222,who did the soviet union support in china civil war,the CCP,Communist Party of China,0.0,0.36241745948791504,61,21,162
223,when was the last time a total eclipse happened,"August 21, 2017","December 14, 2020",0.0,0.5294735431671143,75,58,153
224,who played the scare crow in wizard of oz,Raymond Wallace Bolger,Ray Bolger,0.4,0.3689756393432617,56,15,153
225,where is the femur located on the human body,proximal (closest to the hip joint) bone of the leg,Thigh,0.0,0.4128837585449219,56,12,156
226,who said truth justice and the american way,the comic-book character Superman,Superman,0.5,0.5712127685546875,67,12,150
227,who won the first stage of the 2018 tour de france,Fernando Gaviria of Quick-Step Floors,Fernando Gaviria,0.5714285714285715,0.37108922004699707,64,27,165
228,where is kuala lumpur located on a map,3°8′N 101°41′E﻿ / ﻿3.133°N 101.683°E,Malaysia,0.0,0.31847310066223145,56,12,156
229,when did falcon first appear in the mcu,in the 2014 film Captain America: The Winter Soldier,2018,0.0,0.3101327419281006,56,12,156
230,when did the battle of bannockburn take place,24 June 1314,1314,0.5,0.25846314430236816,57,12,159
231,who does danny end up with in just go with it,Katherine,Katherine,1.0,0.3371119499206543,58,12,162
232,who played tj on head of the class,Rain Pryor,Jonathan Ke Quan,0.0,0.39931297302246094,56,15,150
233,what is free trade area of the americas,agreement to eliminate or reduce the trade barriers,Trade agreement aimed at eliminating trade barriers among countries in the Americas.,0.33333333333333326,0.4521036148071289,66,54,153
