,question,answer,model_output,f1,latency,num_tokens,completion_tokens,prompt_tokens
14,where does jinx you owe me a coke come from,Jinx is a children's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously,It is not associated with any specific origin or source.,0.19354838709677416,1.5432004928588867,184,129,56
15,where does the last name hickey come from,Irish origin,Irish origin,1.0,0.9224321842193604,107,86,54
16,where is the greatest royal rumble taking place,"Jeddah, Saudi Arabia","Jeddah, Saudi Arabia",1.0,0.5865051746368408,78,23,54
17,who sang my name is tallulah in bugsy malone,"Louise ""Liberty"" Williams",Jodie Foster,0.0,0.6415555477142334,84,25,58
18,what is andy's sisters name in toy story,Molly,Molly,1.0,0.4366030693054199,71,16,55
19,who sings with shaggy on it wasn me,English-Jamaican singer Rikrok,"""It Wasn't Me"" is a song by Shaggy featuring RikRok.",0.16666666666666666,0.5428550243377686,74,25,55
20,what is the largest catholic high school in america,St. Francis Preparatory School,Joliet Catholic Academy,0.0,0.7277030944824219,92,28,54
21,who established the peoples republic of china in 1949,Mao Zedong,Mao Zedong,1.0,0.820026159286499,89,44,56
22,who sang take that look off your face,Marti Webb,"""Take That Look Off Your Face"" was originally sung by Marti Webb.",0.2857142857142857,0.48834824562072754,69,15,53
23,who plays percy in the lost city of z,Charlie Hunnam,Charlie Hunnam,1.0,0.5436434745788574,78,30,55
24,who plays the first lady on house of cards,Joanna C. Going,Robin Wright,0.0,0.5253674983978271,74,18,54
25,who owns st andrews golf course in scotland,The St Andrews Links Trust,St Andrews Links Trust,1.0,0.7562980651855469,79,13,56
26,which city and state hosts the annual college world series,"Omaha, Nebraska","Omaha, Nebraska",1.0,0.5197734832763672,74,19,55
27,who is ted talking about in how i met your mother,Tracy McConnell,Tracy McConnell,1.0,0.7788727283477783,98,22,56
28,when does grey's anatomy season 14 premiere,"September 28, 2017","September 28, 2017",1.0,0.6192972660064697,79,26,54
29,the partial pressure of carbon dioxide in arterial blood is approximately,at sea level (765 mmHg) in arterial blood is between 35 mmHg and 45 mmHg,The partial pressure of carbon dioxide in arterial blood is approximately 50 mmHg.,0.3703703703703704,2.941054105758667,307,36,56
30,what was uncle jesse's original last name on full house,Cochran,Cochran,1.0,0.5691995620727539,79,20,57
31,who pays the judgements on the judge mathis show,Greg Mathis,Show Producers,0.0,0.5234794616699219,76,29,56
32,who made up the elf on the shelf,Chanda Bell,Carol Aebersold and Chanda Bell,0.5714285714285715,0.6066319942474365,82,30,53
33,who warned concord that the british were coming,Samuel Prescott,Paul Revere and William Dawes were messengers who warned Concord that the British were coming.,0.0,1.8179361820220947,73,19,54
34,who lasted the longest on alone season 2,David McIntyre,Jeff Zausch lasted the longest on Alone Season 2.,0.0,0.4149026870727539,67,19,54
35,where is the us military base in japan,"Yokota Air Base, Fussa, Western Tokyo",Kadena Air Base is the largest US military base in Japan.,0.25,1.1468486785888672,120,53,53
36,who determines the size of the supreme court,Congress,Congress determines the size of the Supreme Court.,0.2857142857142857,0.9657785892486572,116,14,53
37,who is the actor that plays lucifer on tv,Thomas John Ellis,Tom Ellis,0.4,0.5047452449798584,70,16,55
38,who designed the national coat of arms of south africa,Iaan Bekker,Frederick G. Brownell,0.0,0.6476519107818604,81,28,55
39,when does model code of conduct come into force,immediately on announcement of the election schedule by the commission,After the announcement of election schedule by the Election Commission.,0.75,0.9374785423278809,90,33,54
40,when did now thats what i call music come out,28 November 1983,"November 28, 1983",1.0,0.7875831127166748,85,36,55
41,where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton, Alberta","Commonwealth Stadium, Edmonton, Alberta, Canada",0.6153846153846154,0.640545129776001,85,31,55
42,where did the band bastille get their name,Bastille Day,Bastille Day,1.0,0.5930671691894531,85,52,54
43,where is arkansas river located on a map,"The Arkansas River flows through Colorado, Kansas, Oklahoma, and Arkansas, and its watershed also drains parts of Texas, New Mexico and Missouri.",It is located in the central United States.,0.0,1.0610387325286865,119,62,54
44,who plays nicholas in the princess diaries 2,Chris Pine,Chris Pine plays Nicholas Devereaux in The Princess Diaries 2.,0.3636363636363636,0.46026110649108887,71,19,56
45,the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization,Atrial depolarization,1.0,0.6617586612701416,89,28,60
46,when did star trek the next generation first air,"September 28, 1987","September 28, 1987",1.0,0.5640771389007568,81,27,54
47,who sang the most wonderful summer of my life,Jackie Ward,Mario Vendone,0.0,0.7468655109405518,91,25,54
48,how many oscars did on golden pond win,three,3,0.0,0.9191577434539795,98,12,54
49,who won season 4 of america's got talent,Kevin Skinner,Kevin Skinner,1.0,0.5138411521911621,74,19,55
50,how many episodes on queen of the south season 1,13,13,1.0,0.5197157859802246,74,21,56
51,who is the existing prime minister of pakistan,Imran Khan,Imran Khan,1.0,0.4834160804748535,70,11,53
52,who is known as the father of texas,Stephen Fuller Austin,Stephen F. Austin,0.6666666666666666,0.5415604114532471,71,19,53
53,what is the orange stuff on my sushi,tobiko,Tobiko,1.0,0.7688486576080322,90,51,53
54,when did nsw last won a state of origin series,2018,2019,0.0,0.5681674480438232,80,20,56
55,when does life is strange before the storm part 2,October 2017,"October 19, 2017",0.8,0.7358109951019287,89,75,56
56,where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan,Genesis chapters 18-19,0.0,0.8237414360046387,112,44,57
57,when did the xbox 360 slim come out,in 2010,"June 18, 2010",0.4,0.5141067504882812,80,26,54
58,who spread the theory that one is a product of the mind and body,René Descartes,René Descartes,1.0,0.8948342800140381,113,26,59
59,how many goals scored ronaldo in his career,over 670,Over 700 goals,0.4,1.290306568145752,132,22,55
60,who played tess on touched by an angel,"Delloreese Patricia Early (July 6, 1931 – November 19, 2017), known professionally as Della Reese",Della Reese,0.23529411764705882,0.5578880310058594,70,17,53
61,when did the hornets move to new orleans,2002–03 season,The Charlotte Hornets moved to New Orleans for the 2002-2003 season.,0.1818181818181818,0.3932161331176758,72,22,55
62,fish appeared in the fossil record during the,the Cambrian explosion,Cambrian period,0.5,0.4589965343475342,71,20,53
63,who died from the band faith no more,singer Chuck Mosley,"Chuck Mosley, the original lead singer of Faith No More, died on November 9, 2017.",0.35294117647058826,0.6201786994934082,76,29,53
64,who signed the gun control act of 1968,President Lyndon B. Johnson,Lyndon B. Johnson,0.8571428571428571,0.834538459777832,89,28,55
65,where do frankenstein and the monster first meet,the mountains,Frankenstein and the monster first meet in Frankenstein's laboratory.,0.0,0.4241940975189209,67,32,54
66,the human tendency to mimic other people’s behavior is an example of,Mirroring,mirroring behavior,0.6666666666666666,1.1454899311065674,119,21,58
67,when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series,CANCELLED,0.0,0.6289160251617432,73,28,54
68,how is the head of the church of england,the monarch is the supreme governor,British monarch,0.3333333333333333,0.48468613624572754,71,26,55
69,how to remove a methyl group from benzene,replacement of a methyl group by a hydrogen atom,The final product after removing the methyl group will be bromobenzene.,0.25,1.5021021366119385,179,161,54
70,what does a nose ring mean in india,"a mark of beauty and social standing as well as a Hindu's honor to Parvati, the goddess of marriage",Cultural significance and symbol of marriage,0.2727272727272727,1.3220458030700684,150,52,53
71,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,Soviet Union,Soviet Union,1.0,0.5844326019287109,88,26,64
72,when did fasb codification become authoritative u.s. gaap,"after September 15, 2009",July 2009,0.3333333333333333,0.5400159358978271,82,32,58
73,who plays frank in f is for family,Bill Burr,Justin Long,0.0,0.5451629161834717,72,27,53
74,android operating system was acquired by google in,July 2005,2005,0.6666666666666666,1.0552654266357422,60,3,53
75,where does the flexor digitorum superficialis distally attach,The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers. These tendons have a split (Camper's Chiasm) at the end of them through which the tendons of flexor digitorum profundus pass.,middle phalanges,0.06060606060606061,0.6255168914794922,86,46,58
76,who played daniel in the bible mini series,Jake Canuso,Jake Canuso,1.0,0.47423386573791504,74,23,54
77,what does the star on the ghana flag mean,"adopted from the flag of the Black Star Line, a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922",HOPE/ASPIRATION,0.0,0.5528476238250732,82,23,55
78,when is the last movie of divergent coming out,TBA,"The last movie in the Divergent series, ""Ascendant,"" was originally planned to be released as a TV movie, but it was ultimately cancelled. Therefore, there is no official release date for the last movie of the Divergent series.",0.0,0.9622550010681152,105,58,55
79,the former peterlee campus of east durham college,East Durham & Houghall Community College,What do you want to know about the former Peterlee Campus of East Durham College?,0.3157894736842105,0.610349178314209,72,11,55
80,the amount of light reflected from the front surface of common window glass is about,about 4% per surface,0.04,0.0,0.8678033351898193,118,39,60
81,how many cm is a 24 inch tv,61,60.96 cm,0.0,0.7769761085510254,93,66,54
82,where was the walking dead season 7 filmed,Georgia,"""The Walking Dead"" Season 7 was primarily filmed in Georgia, USA.",0.18181818181818182,0.4140326976776123,69,34,54
83,who plays male lead in far from the madding crowd,Carey Mulligan,Matthias Schoenaerts,0.0,0.7883501052856445,85,28,56
84,who is in the cast of the handmaid's tale,Elisabeth Moss,"Elizabeth Moss, Joseph Fiennes, Yvonne Strahovski, Alexis Bledel, Madeline Brewer, Ann Dowd, O.T. Fagbenle",0.125,1.159367322921753,143,109,56
85,who owned the first casino in las vegas,local Las Vegas business owners,Thomas Hull,0.0,0.6511516571044922,91,19,53
86,who is the lead singer of portugal the man,John Baldwin Gourley,John Gourley,0.8,0.5204129219055176,76,21,55
87,who does billy russo become on the punisher,Jigsaw,"In the Marvel comics and the Netflix series ""The Punisher,"" antagonist Billy Russo ultimately becomes the villain Jigsaw. Jigsaw is known for his disfigured face and relentless pursuit of vengeance against Frank Castle / The Punisher.",0.06451612903225806,0.6966872215270996,102,17,56
88,who was the founder of chick fil a,S. Truett Cathy,S. Truett Cathy,1.0,0.5373151302337646,77,15,53
89,when was asbestos first found to be dangerous,began with the 20th century and escalated during the 1920s and 1930s,1920s,0.18181818181818182,1.5846138000488281,104,40,53
90,where is the black box located on an airplane,usually mounted in the aircraft's tail section,TAIL SECTION,0.5,0.7782912254333496,95,40,54
91,when did the brewers go to national league,1998,1998,1.0,0.41302490234375,71,21,53
92,who are the songwriters for the greatest showman,Benj Pasek,Benj Pasek and Justin Paul,0.5714285714285715,0.6830673217773438,88,20,55
93,who plays dylan in now you see me,Mark Ruffalo,"Dave Franco plays Dylan in the movie ""Now You See Me.""",0.0,0.43752336502075195,67,18,54
94,where was the ark of the covenant taken,Kiriath-Jearim,Jerusalem,0.0,0.48307156562805176,70,10,53
95,harrow on the hill height above sea level,124 metres (408 ft),104 meters,0.0,1.2805695533752441,134,23,54
96,who plays hitler in man in the high castle,Wolf Muser,Wolf Muser,1.0,0.5603427886962891,77,27,55
97,lowest city below sea level in the world,"Jericho, West Bank","Jericho, West Bank -846 ft (-258 m)",0.6,0.9250824451446533,105,54,53
98,who voiced jack in rise of the guardians,Chris Pine,Chris Pine,1.0,0.4655177593231201,72,22,53
99,what type of hybrid is the ford fusion,gasoline-electric,Parallel hybrid,0.0,0.525615930557251,67,21,53
100,how many states is there in united states,50,50,1.0,0.4740025997161865,67,13,53
101,what is the first harry potter book called in england,Harry Potter and the Philosopher's Stone,"The first Harry Potter book in England is called ""Harry Potter and the Philosopher's Stone.""",0.5555555555555556,0.445026159286499,77,31,58
102,when did montgomery ward's go out of business,2001,2001,1.0,0.5333435535430908,72,18,55
103,who won series 7 of great british bake off,Candice Brown,Candice Brown,1.0,0.4991264343261719,77,22,55
104,who does the voice of special ed on crank yankers,Jim Florentine,Jim Florentine,1.0,0.5510363578796387,81,21,57
105,what does the ministry of trade and industry do,directs the formulation of policies related to the development of trade and industry in Singapore,"Oversees trade policies, promotes economic development, fosters industrial growth, regulates business activities.",0.24000000000000002,1.173187494277954,124,87,54
106,who sings nothings gonna hurt you baby,Cigarettes After Sex,Cigarettes After Sex,1.0,0.5817084312438965,81,30,53
107,where in the bible does it talk about manna from heaven,Exodus 16:1–36,Exodus 16,0.5,2.344186544418335,252,19,57
108,winds that blow predominantly from the northeast and the southeast are the,The trade winds,trade winds.,1.0,0.3413271903991699,61,3,58
109,what is the use of symbolic link in linux,to reorder the file system hierarchy,"To create a symbolic link in Linux, the `ln` command is used with the `-s` flag. For example: `ln -s /path/to/original /path/to/symlink`.",0.08333333333333333,1.6349234580993652,161,79,54
110,time after time song was in what movie,John Tucker Must Die,Strictly Ballroom and Romy and Michele's High School Reunion,0.0,1.0197207927703857,112,33,53
111,who sings i'm the one your mother warned you about,Mickey Gilley,Australian Crawl,0.0,0.5683679580688477,88,27,56
112,who is considered a foreign official under fcpa,"any officer or employee of a foreign government or any department, agency, or instrumentality thereof, or of a public international organization, or any person acting in an official capacity for or on behalf of any such government or department, agency, or instrumentality, or for or on behalf of any such public international organization","Officer or employee of a foreign government or any department, agency, or instrumentality thereof.",0.41269841269841273,1.203171730041504,137,114,55
113,who made the song london bridge is falling down,Unknown,"The origins of the song ""London Bridge is Falling Down"" are unknown, but it has been a popular nursery rhyme for centuries.",0.1,0.5757687091827393,80,40,54
114,when does love simon come out in canada,"March 16, 2018","March 16, 2018",1.0,0.5386109352111816,81,27,54
115,what were the major components of clays american system,a tariff to protect and promote American industry,"Protective tariffs, national bank, internal improvements",0.0,0.9900271892547607,118,59,55
116,where was pirates of the carribean on stranger tides filmed,"Principal photography began on June 14, 2010, in Hawaii.[17][47] Filming was moved to California in August 2010,[48] primarily at the Long Beach shore[33] and a recreation of Whitecap Bay done in the Universal Studios backlot,[17] as the original Hawaiian location on Halona Cove was plagued with strong tides.[22] After a brief shoot in Puerto Rico,[33] with locations in both Palomino Island and the Fort of San Cristóbal in San Juan,[49] production moved to the United Kingdom in September, where principal photography wrapped on November 18 after 106 days of shooting.[17] Locations included Hampton Court Palace in London,[23] Knole House in Kent,[33] and Old Royal Naval College at Greenwich.[50] Interiors were shot at London's Pinewood Studios, and a replica of an 18th-century London street was built on the backlot alongside the soundstages","Various locations including Hawaii, Puerto Rico, California, and the UK.",0.06201550387596899,0.7862610816955566,103,40,58
117,who sings i wanna be like you jungle book,Louis Prima,Louis Prima and Phil Harris,0.5714285714285715,0.8689789772033691,102,20,54
118,who wrote the book of philippians in the bible,Paul of Tarsus,Paul,0.5,0.6042582988739014,74,17,56
119,who sold more albums carrie underwood vs kelly clarkson,Carrie Underwood,Carrie Underwood sold more albums than Kelly Clarkson.,0.4,0.9993529319763184,111,86,59
120,who is the oldest child in queen sugar,Nova Bordelon,Charley Bordelon,0.5,0.5393946170806885,74,17,53
121,when did second world war start and end,1 September 1939 – 2 September 1945,"September 1, 1939 - September 2, 1945",0.923076923076923,1.0403060913085938,96,42,53
122,a spider with a skull on its back,Steatoda nobilis,Spider with a skull on its back,0.0,2.0935311317443848,113,69,53
123,when did the waltz become popular in england,the Regency period,Early 19th century,0.0,0.846515417098999,93,23,56
124,what is expelled out of the body as faeces through the anus,"solid, semisolid, or liquid waste material",Feces,0.0,0.7356748580932617,86,9,59
125,who was the chief guest of the official ceremony in the republic day,Crown Prince Mohammed bin Zayed Al Nahyan,"To determine the chief guest of the official ceremony on Republic Day, I would need to know the specific year you are inquiring about since the chief guest changes every year.",0.0,0.7414615154266357,92,30,58
126,who wrote the practice of the presence of god,"Brother Lawrence (born Nicholas Herman), a 17th-century Carmelite monk",Brother Lawrence,0.4,0.7381184101104736,82,19,54
127,what cities have been capital of the united states,New York City,"Washington, D.C.",0.0,0.6823241710662842,83,29,54
128,when did india conduct the nuclear test at pokhran,May 1998,"May 11 and May 13, 1998",0.5,0.7561118602752686,91,28,56
129,nhl record for shots on goal in a game,"Ray Bourque (March 21, 1991), 19",97,0.0,0.7517402172088623,89,36,55
130,where does the sagging pants trend come from,1990s,US prisons in the 1980s and 1990s,0.2857142857142857,1.6246860027313232,141,81,54
131,who has played in the most nba finals games,Bill Russell,Bill Russell,1.0,0.5992906093597412,79,22,55
132,moment of inertia of a rod about a point,radius of gyration,\frac{1}{3}mL^2,0.0,1.8243014812469482,153,160,54
133,list of hum tv dramas based on novels,Dayar-e-Dil,Mata-e-Jaan Hai Tu,0.0,1.2581596374511719,146,67,53
134,when does mark show up in grey anatomy,season two,"SEASON 2, EPISODE 18",0.3333333333333333,0.9003603458404541,103,50,53
135,where is the iguazu falls located on a map,on the border of the Argentine province of Misiones and the Brazilian state of Paraná,Brazil and Argentina,0.13333333333333333,0.6792771816253662,88,44,56
136,in the 1st century bc egypt became a colony of,the Roman Empire,Rome,0.0,0.41905832290649414,70,37,58
137,who is the cheif minister of uttar pradesh up,Yogi Adityanath,The current Chief Minister of Uttar Pradesh is Yogi Adityanath.,0.3636363636363636,0.4664618968963623,72,23,57
138,who played jono on star trek next generation,Chad Allen,Michael Shanks,0.0,0.520043134689331,78,23,54
139,this bear lives in the hundred acre wood,Winnie-the-Pooh,Winnie the Pooh,0.0,0.5073068141937256,72,8,53
140,what is the holy book of lslam called,Quran,Quran,1.0,0.4875156879425049,70,15,55
141,who won the women's championship at wimbledon this year,Garbiñe Muguruza,The women's championship at Wimbledon was won by Ashleigh Barty.,0.0,0.4250063896179199,70,24,56
142,who won second place in miss universe 2017,Laura González,Miss Colombia,0.0,0.5661392211914062,77,27,55
143,when does the new wheel of fortune season start,"September 10, 2018",The new season of Wheel of Fortune typically starts in September.,0.15384615384615383,0.4496121406555176,66,45,54
144,who has been elected next president of united nations 2018,María Fernanda Espinosa,Antonio Guterres,0.0,0.7629666328430176,99,51,57
145,when was the myers briggs type indicator developed,during World War II,1940s,0.0,0.5713341236114502,77,28,55
146,when was the last time australia won the rugby world cup,1999,1999,1.0,0.4644508361816406,72,16,56
147,where was the movie it's complicated filmed,New York City,"California, USA",0.0,0.6058235168457031,82,34,53
148,who wrote the story for the shape of water,Guillermo del Toro,Guillermo del Toro,1.0,0.5546858310699463,76,31,54
149,when do fifty shades of freed come out,"February 9, 2018",February 2018,0.8,0.4679083824157715,72,27,53
150,where is the lighthouse in lighthouse point fl,Hillsboro Beach,"5000 N Ocean Dr, Pompano Beach, FL 33064",0.2,0.87703537940979,99,48,55
151,who founded the first university in the world,Fatima bint Muhammad Al-Fihriya Al-Qurashiya,Fatima al-Fihri,0.28571428571428575,1.083486557006836,103,66,53
152,when did tiger win his last pga tournament,2007,"Tiger Woods won his last PGA Tour tournament on October 27, 2019, which was the Zozo Championship.",0.0,0.5461227893829346,79,34,54
153,who wrote aerosmith i don't want to miss a thing,Diane Warren,"The song ""I Don't Want to Miss a Thing"" was written by Diane Warren.",0.2857142857142857,0.5680201053619385,75,35,57
154,what was the capital of brazil before brasilia,Rio de Janeiro,Rio de Janeiro,1.0,0.8967950344085693,100,17,54
155,where was the kath and kim movie filmed,Positano,Italy,0.0,0.6382553577423096,80,24,54
156,what is red's real name on that 70's show,"Reginald Albert ""Red"" Forman",Reginald Albert Forman,0.8571428571428571,0.6374373435974121,86,27,57
157,when did nhl start 3 on 3 overtime,2015–16 NHL season,2015-2016 season,0.4,0.68475341796875,87,29,56
158,who is the founder of red cross society,Henry Dunant,Henry Dunant,1.0,0.6013138294219971,71,18,53
159,what are the three rivers of pittsburgh pennsylvania,Allegheny,"Allegheny River, Monongahela River, Ohio River",0.2857142857142857,0.8376762866973877,98,42,56
160,what were the two super powers during the cold war,Soviet Union,The two superpowers during the Cold War were the United States and the Soviet Union.,0.3076923076923077,0.49067115783691406,72,25,55
161,at present who is the speaker of lok sabha,Sumitra Mahajan,Om Birla,0.0,0.6129124164581299,82,24,55
162,who voices the faceless old woman who secretly lives in your home,Mara Wilson,Mara Wilson,1.0,0.5514307022094727,82,25,58
163,when did sweet dreams are made of this come out,1983,1983,1.0,0.6236345767974854,82,29,55
164,when were catholic churches allowed back in england,Dioceses (replacing districts) were re-established by Pope Pius IX in 1850,1829,0.0,0.6198580265045166,79,34,54
165,who plays wendy the waitress in how i met your mother,Charlene Amoia,Charlene Amoia,1.0,0.722402811050415,90,30,58
166,where did the night at the museum take place,New York City's American Museum of Natural History,"American Museum of Natural History, New York City",0.875,1.1614806652069092,119,26,54
167,what are freshmen called at the air force academy,Fourth class cadets,"Freshmen at the Air Force Academy are called ""four degrees.""",0.0,0.4462087154388428,67,16,54
168,how many gold medals did nz win in the 2018 commonwealth,46,15,0.0,0.5446267127990723,78,18,59
169,who is the actor playing terry on general hospital,Cassandra James,Cassandra James,1.0,0.5996501445770264,72,17,55
170,who is the leader of the state government in australia,the Queen of Australia,The leader of the state government in Australia is the Premier.,0.36363636363636365,0.4457674026489258,67,13,55
171,when was national food security act introduced in rajasthan,22 December 2011,2013,0.0,0.509211540222168,75,22,55
172,good morning america what time does it start,7:00 to 9:00 a.m. in all U.S. time zones (live in the Eastern Time Zone and on tape delay elsewhere across the country),"Good morning! ""Good Morning America"" typically starts at 7:00 AM Eastern Time. Would you like any additional information?",0.20512820512820512,0.6482546329498291,79,25,53
173,what are the main sources of vitamin k,green leafy vegetables,"Leafy green vegetables, vegetable oils, meat, dairy products, and eggs are main sources of vitamin K.",0.3157894736842105,1.1619775295257568,124,73,53
174,when did the edwardian era start and end,1901 to 1910,1901 - 1910,0.8,0.5582921504974365,80,23,55
175,what was the copperheads position on fighting the war,opposed the American Civil War and wanted an immediate peace settlement with the Confederates,Opposed fighting the war,0.28571428571428575,0.8291988372802734,102,47,55
176,when was rudolph the red nosed reindeer written,1939,1939,1.0,0.6357674598693848,85,29,56
177,when does season 3 of lucifer come out,"October 2, 2017","October 2, 2017",1.0,0.824519157409668,79,25,55
178,what kind of currency is used in new zealand,New Zealand dollar,NZD,0.0,0.5110092163085938,74,19,55
179,when was the last time mount shasta was active,about two centuries ago,1786,0.0,0.459658145904541,73,17,55
180,which is first dawn of the planet of the apes or rise of the planet of the apes,Rise of the Planet of the Apes,Rise of the Planet of the Apes,1.0,0.8177430629730225,113,53,65
181,coriolosis component of acceleration can be found in,the Earth,Coriolis component of acceleration can be found in non-inertial reference frames or objects moving along curved paths on Earth's surface.,0.0,1.6517441272735596,185,23,55
182,who sings i always feel like somebody's watching me,TRU,Rockwell,0.0,0.6002242565155029,82,26,55
183,where is lebron on the all time scoring list,7,3rd in all-time scoring list,0.0,0.8955309391021729,104,17,55
184,who wrote there's nothing holdin me back,Shawn Mendes,Shawn Mendes,1.0,0.7653229236602783,84,49,54
185,when was silicon added to the periodic table,1823,1824,0.0,0.7241899967193604,79,29,53
186,where do the golden knights hockey team play,"at T-Mobile Arena on the Las Vegas Strip in Paradise, Nevada","T-Mobile Arena, Las Vegas",0.5714285714285715,0.5587124824523926,76,20,53
187,where is black sea located in the world,"between Eastern Europe, the Caucasus, and Western Asia",Southeastern Europe,0.22222222222222224,0.6533920764923096,86,35,53
188,when can a person be held for a capital crime without benefit of presentment,"in cases arising in the land or naval forces, or in the Militia, when in actual service in time of War or public danger",If there is probable cause to believe they committed the crime.,0.0,0.8942375183105469,112,33,60
189,when was central statistical organisation of india established,2 May 1951,2 August 1951,0.6666666666666666,0.6386947631835938,81,26,53
190,who plays red's voice in angry birds,Jason Sudeikis,Jason Sudeikis,1.0,1.5605714321136475,79,27,53
191,what was the first book that charles dickens published,The Pickwick Papers,The Pickwick Papers,1.0,0.943220853805542,85,26,56
192,how many episodes is there in season 14 of greys anatomy,24,24,1.0,0.6016242504119873,76,17,58
193,who is the highest paid nba player in 2016,LeBron James,Kobe Bryant,0.0,0.9477782249450684,117,13,57
194,who has been on the throne the longest in england,Queen Elizabeth II,Queen Elizabeth II,1.0,0.7438986301422119,90,31,56
195,where is earth within the milky way galaxy,Orion Arm,In the Milky Way galaxy.,0.0,0.6620204448699951,85,32,54
196,who plays shiv's ex boyfriend on succession,Ashley Zukerman,Kieran Culkin,0.0,0.5377218723297119,75,14,54
197,what is the population of yukon in 2017,"35,874 people","The population of Yukon in 2017 was approximately 40,000.",0.0,1.5922856330871582,151,27,57
198,when was a whiter shade of pale recorded,1967,April 1967,0.6666666666666666,0.5888276100158691,81,23,54
199,when did the song all by myself come out,in 1975,1975,0.6666666666666666,0.5271739959716797,74,18,54
200,what is the meaning of region in english,"areas that are broadly divided by physical characteristics (physical geography), human impact characteristics (human geography), and the interaction of humanity and the environment (environmental geography)",An area or division with specific characteristics or boundaries.,0.06451612903225806,0.6108782291412354,83,22,53
201,when does arrow season 6 episode 21 air,"May 3, 2018","May 3, 2018",1.0,0.7062406539916992,81,26,55
202,who starred in the original movie cape fear,Robert Mitchum,Gregory Peck and Robert Mitchum,0.5714285714285715,0.6844475269317627,88,27,53
203,who is the bloke in the go compare advert,Wynne Evans,Wynne Evans,1.0,0.5660481452941895,73,20,55
204,where does a jury of her peers take place,"fictional Dickson County (representing Dickinson County, Iowa)",courtroom,0.0,0.4446985721588135,70,32,54
205,what language do they speak in the czech republic,Czech,The official language spoken in the Czech Republic is Czech.,0.2222222222222222,0.36219263076782227,66,16,55
206,who is el senor de los cielos based on,Amado Carrillo Fuentes,"""El Señor de los Cielos"" is based on the life of famous Mexican drug lord Amado Carrillo Fuentes.",0.3,0.5590429306030273,85,38,57
207,what year did the drummer lose his arm,1985,1984,0.0,0.6870620250701904,83,31,53
208,where is redding california located on a map,"along the Sacramento River, 162 miles (261 kilometers) north of Sacramento, and 120 miles (190 km) south of California's northern border, shared with the state of Oregon",Northern California,0.07407407407407407,0.8191707134246826,94,30,54
209,when does celebs go dating series 3 start,4 September 2017,"September 4, 2017",1.0,0.6198134422302246,81,44,55
210,what is the newest jurassic park movie called,Jurassic World: Fallen Kingdom,Jurassic World: Dominion,0.5714285714285715,0.4284846782684326,66,22,54
211,who wrote the song one wing from sparkle,R. Kelly,R. Kelly,1.0,0.601323127746582,77,13,53
212,who sang wish you were here pink floyd,David Gilmour,Pink Floyd,0.0,1.6706287860870361,71,20,54
